algorithm,structure,size,runs,avg_time_s,avg_time_ms
Heap Sort,random_int,100000,3,0.242861667,242.861667
Merge Sort,random_int,100000,3,0.193851433,193.851433
Heap Sort,sorted_int,100000,3,0.222551967,222.551967
Merge Sort,sorted_int,100000,3,0.175174933,175.174933
Heap Sort,reverse_sorted_int,100000,3,0.2080006,208.0006
Merge Sort,reverse_sorted_int,100000,3,0.173794167,173.794167
Heap Sort,almost_sorted_int,100000,3,0.223907,223.907
Merge Sort,almost_sorted_int,100000,3,0.1876068,187.6068
Heap Sort,mixed_int,100000,3,0.223229933,223.229933
Merge Sort,mixed_int,100000,3,0.1860929,186.0929
Heap Sort,flat_int,100000,3,0.121813667,121.813667
Merge Sort,flat_int,100000,3,0.176592433,176.592433
Heap Sort,random_int,500000,3,1.509857533,1509.857533
Merge Sort,random_int,500000,3,1.168363467,1168.363467
Heap Sort,sorted_int,500000,3,1.249131133,1249.131133
Merge Sort,sorted_int,500000,3,1.207880433,1207.880433
Heap Sort,reverse_sorted_int,500000,3,1.305369367,1305.369367
Merge Sort,reverse_sorted_int,500000,3,1.227511133,1227.511133
Heap Sort,almost_sorted_int,500000,3,1.3168781,1316.8781
Merge Sort,almost_sorted_int,500000,3,1.256491467,1256.491467
Heap Sort,mixed_int,500000,3,1.455906233,1455.906233
Merge Sort,mixed_int,500000,3,1.107157167,1107.157167
Heap Sort,flat_int,500000,3,0.8436581,843.6581
Merge Sort,flat_int,500000,3,0.9739798,973.9798
Heap Sort,random_int,1000000,3,3.442380033,3442.380033
Merge Sort,random_int,1000000,3,2.571229767,2571.229767
Heap Sort,sorted_int,1000000,3,2.602048367,2602.048367
Merge Sort,sorted_int,1000000,3,2.819205667,2819.205667
Heap Sort,reverse_sorted_int,1000000,3,2.772098933,2772.098933
Merge Sort,reverse_sorted_int,1000000,3,2.657543567,2657.543567
Heap Sort,almost_sorted_int,1000000,3,2.8137851,2813.7851
Merge Sort,almost_sorted_int,1000000,3,2.949315733,2949.315733
Heap Sort,mixed_int,1000000,3,3.1963573,3196.3573
Merge Sort,mixed_int,1000000,3,2.623232433,2623.232433
Heap Sort,flat_int,1000000,3,1.550907033,1550.907033
Merge Sort,flat_int,1000000,3,1.994181567,1994.181567
